topic_id,term_rank,term,weight
37,6,stock price,0.032945602112871245
37,7,lowered,0.03248287141619259
37,8,target lowered,0.03175577366432584
37,9,price targets,0.020024401016052466
37,10,raises price,0.017377944217880633
38,1,premarket,0.12608354069688582
38,2,rise premarket,0.10659943455652322
38,3,fall premarket,0.06888720975297018
38,4,rise,0.058296740496328145
38,5,fall,0.056939811990343266
38,6,falls,0.026357806536704585
38,7,lululemon,0.022228187794604008
38,8,tesla,0.02201765183451542
38,9,boeing,0.016089230402859526
38,10,johnson,0.013930901142285446
39,1,amp 500,0.06168582851926184
39,2,500,0.052442167148357206
39,3,500 slips,0.026760512891582124
39,4,amp,0.025925569518714036
39,5,tech,0.018147272546577803
39,6,slips,0.017034779657271258
39,7,500 climbs,0.013766163563645408
39,8,bulls,0.013588811382291227
39,9,500 cuts,0.013521961528607594
39,10,financials,0.012905728696710991
40,1,blue chip,0.1523871569472007
40,2,blue,0.14515432224416053
40,3,chip stocks,0.1369592730854032
40,4,chip,0.1207504878831382
40,5,best blue,0.04423392911186765
40,6,undervalued blue,0.024488358236230537
40,7,stocks buy,0.024015305722647904
40,8,10 blue,0.022858720531345845
40,9,updated rankings,0.01630929397040202
40,10,downgraded updated,0.01630929397040202
41,1,ftse,0.12093443603221292
41,2,ftse 100,0.10093355471040906
41,3,100,0.059332416343823045
41,4,100 live,0.03693465642987995
41,5,live,0.030038373776778312
41,6,ftse european,0.02336284690332001
41,7,european stocks,0.02147817197844205
41,8,100 opens,0.020527335381663677
41,9,lower,0.017817967073623327
41,10,european,0.017557582086461947
42,1,republic,0.13901372896305597
42,2,republic bank,0.05959354952241871
42,3,republic stock,0.03606265041402438
42,4,fdic,0.028107395670721055
42,5,republic republic,0.023373475363260263
42,6,republic deal,0.02197055578196958
42,7,deposit,0.019621926986936978
42,8,30 billion,0.017577306053047567
42,9,rescue republic,0.015905042421043195
42,10,buy republic,0.01540177396074715
43,1,tariffs,0.07618301331113352
43,2,trump tariffs,0.05142351457714622
43,3,trump,0.04778029725236403
43,4,tariff,0.03583808194130045
43,5,copper,0.020874319298873116
43,6,tariffs trump,0.01972955727872913
43,7,trump tariff,0.016790103140336715
43,8,price hikes,0.013054424691299776
43,9,tariffs markets,0.012079436578661484
43,10,tariffs likely,0.012079436578661484
44,1,speak,0.09929064491091799
44,2,conference,0.08555368486452408
44,3,services conference,0.07263947179047485
44,4,financial services,0.05135294463879641
44,5,global financial,0.04606337540923452
44,6,financials,0.0358741001034052
44,7,services,0.035591213069918776
44,8,mellon speak,0.034568817842439724
44,9,financials conference,0.03409371769883458
44,10,participate,0.03377078456940926
45,1,earnings transcript,0.20628917793951387
45,2,transcript,0.20131109004821712
45,3,2023 earnings,0.08503375171160547
45,4,2022 earnings,0.06156635493096458
45,5,2021 earnings,0.0570902007052057
45,6,q4 2022,0.044251474526498184
45,7,transcript banco,0.04183880704240161
45,8,q4 2023,0.04126600067190674
45,9,q4,0.0401100959668819
45,10,transcript corporation,0.039032335813440046
46,1,valuation,0.09025173479748391
46,2,share price,0.05896228113963246
46,3,assessing,0.053006270380747934
46,4,assessing valuation,0.046234468522228546
46,5,recent share,0.03975819226284568
46,6,valuation recent,0.03566357787591808
46,7,recent,0.034351217825566084
46,8,share,0.030976133287687963
46,9,enxtam inga,0.029297650846233106
46,10,enxtam,0.029297650846233106
47,1,tickers,0.17170215774284875
47,2,trending tickers,0.17166951024722163
47,3,trending,0.15449628178369182
47,4,tickers nvidia,0.047515490753969415
47,5,tickers trending,0.027411978604589902
47,6,tickers apple,0.022354233111823912
